,Wikipedia Movie ID,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2294,9538292,6.131,2.8120000000000003,0.0,8.748,1.575,2.679,5.498,6.757
2295,31683286,4.469,6.319,1.82,7.423,13.290000000000001,4.688,3.046,18.662
2296,26069013,5.569,2.515,4.552,7.908,1.925,5.034,2.961,1.515
2297,13636848,1.95,0.812,0.0,2.444,1.371,0.756,0.0,4.611
2298,7246171,16.228,17.581,12.098,31.629,22.3,24.915,9.365,48.233
2299,22979376,0.0,0.0,0.0,1.9380000000000002,0.0,0.0,0.0,0.0
2300,19911954,0.0,0.992,0.0,0.0,1.072,0.6,0.0,1.101
2301,850497,3.961,1.383,0.0,6.27,1.018,2.8129999999999997,0.0,7.93
2302,23812920,1.021,0.773,1.813,1.279,3.977,1.337,0.601,1.133
2303,74904,2.631,2.711,0.391,3.636,2.386,2.646,0.89,3.773
2304,22100782,3.325,1.749,1.6280000000000001,5.586,1.803,2.8209999999999997,1.906,9.016
2305,28616678,1.0779999999999998,0.594,0.0,1.094,0.0,0.656,0.0,0.7110000000000001
2306,10995365,3.744,6.195,1.2890000000000001,2.538,6.794,6.067,3.265,6.907
2307,31992932,1.0430000000000001,0.9530000000000001,0.539,3.393,1.435,1.6059999999999999,0.0,1.2349999999999999
2308,24859823,5.019,4.854,5.11,9.457,0.409,6.225,3.9210000000000003,3.344
2309,10165473,0.7490000000000001,1.476,0.0,1.646,0.909,0.782,0.75,1.789
2310,6772207,1.6400000000000001,0.695,0.609,2.543,2.717,0.0,1.609,3.343
2311,8164669,10.903,5.623,4.925,12.684,2.026,8.129,6.805,7.181
2312,27181651,3.558,9.686,1.351,4.6979999999999995,13.338,4.481,2.078,15.797
2313,4167411,5.97,8.938,2.805,11.95,10.213,6.019,2.617,15.115
2314,23018974,0.0,0.594,0.0,0.031,1.324,0.0,0.289,0.484
2315,672737,0.625,0.0,0.633,1.105,0.471,0.656,0.0,2.211
2316,24017181,0.453,1.612,0.0,1.0939999999999999,2.058,1.468,0.227,2.7969999999999997
2317,3259855,4.192,4.654,1.946,6.773,6.149,9.457,1.656,7.33
2318,22641776,5.718,4.805,3.3120000000000003,3.9949999999999997,4.295,5.253,2.476,6.037
2319,27326736,6.448,14.625,1.593,6.640000000000001,19.313000000000002,3.874,2.138,7.951
2320,19691404,0.527,4.328,0.391,1.421,11.538,1.526,0.999,10.672
2321,14739838,3.307,4.453,2.539,6.828,5.169,3.012,4.671,4.233
2322,25500563,1.364,1.765,0.391,2.776,3.2199999999999998,1.454,0.281,7.533
2323,27144410,3.4459999999999997,5.5840000000000005,10.306000000000001,10.623,2.173,9.870000000000001,2.984,2.766
2324,5973389,8.086,8.428,2.9299999999999997,15.535,10.558,7.0280000000000005,5.29,24.467
2325,3244123,1.4180000000000001,1.047,0.964,2.176,0.698,2.923,1.375,2.077
2326,9467628,5.529,2.695,2.982,8.816,3.423,7.295,2.703,7.133
2327,1519082,13.489,13.459,5.219,18.71,22.433,9.525,10.607999999999999,29.329
2328,28520054,0.0,0.406,0.0,0.0,0.412,0.016,0.0,1.0939999999999999
2329,1225570,4.563,6.25,5.006,9.427,7.132,4.28,4.889,6.986
2330,33010817,1.241,2.031,0.656,2.131,4.138,0.931,0.7969999999999999,3.7800000000000002
2331,3181607,1.456,0.0,1.875,4.194,2.077,1.391,0.742,0.75
2332,1231856,2.731,8.224,0.086,4.079,12.681,4.89,1.172,13.384
2333,18780551,7.413,6.7669999999999995,2.526,11.724,6.558,8.627,2.507,7.212
2334,1002717,11.486,12.644,3.696,17.469,8.884,9.439,3.225,13.178
2335,26163035,0.0,0.508,0.0,0.271,0.309,0.266,0.141,0.531
2336,15205682,1.375,2.819,1.4060000000000001,4.802,2.364,1.4529999999999998,2.031,1.102
2337,24520560,0.0,1.742,0.0,0.953,1.49,0.727,0.0,0.0
2338,16194388,1.542,5.8580000000000005,1.617,2.81,4.3950000000000005,1.563,1.781,6.579
2339,23437577,3.621,5.337,3.0700000000000003,8.333,2.2990000000000004,4.8740000000000006,3.578,4.196
2340,216072,6.026,9.733,1.375,7.817,15.245000000000001,5.384,5.921,8.663
2341,990663,6.524,5.03,2.9210000000000003,12.786,1.355,9.018,3.625,6.181
2342,168929,7.161,7.691,0.937,5.467,9.848,2.5229999999999997,4.96,14.155000000000001
2343,4362550,1.467,4.351,0.188,3.513,2.172,1.369,0.375,4.156
2344,3198799,13.416,8.957,11.667,20.457,9.895,4.519,8.156,11.062
2345,22997248,2.416,2.9610000000000003,1.625,3.391,8.681,1.119,1.1720000000000002,6.133
2346,19787652,1.671,1.0150000000000001,0.391,2.297,2.374,1.063,0.0,2.523
2347,20750885,2.942,1.1400000000000001,0.461,2.825,2.21,1.126,0.0,4.296
2348,11783981,1.526,2.141,0.43,1.4020000000000001,3.946,1.078,0.687,3.6479999999999997
2349,4211962,0.741,2.57,0.0,0.0,3.587,0.0,0.203,2.0860000000000003
2350,31977939,0.074,2.8049999999999997,0.0,0.7030000000000001,3.387,0.0,1.367,2.632
2351,11039028,10.113,1.921,2.539,6.577,1.48,4.784,1.305,7.498
2352,6942306,0.359,2.93,0.5549999999999999,1.4989999999999999,4.532,0.281,0.984,2.993
2353,32581343,0.0,0.406,0.0,0.0,2.237,0.0,0.0,0.75
2354,2293008,4.205,5.702,1.165,3.685,8.98,3.718,0.5,9.758
2355,6720101,0.484,1.109,0.0,0.0,0.2,0.0,0.0,0.562
2356,23291125,2.4779999999999998,2.961,0.539,4.05,1.186,2.161,1.5699999999999998,2.078
2357,2475974,3.018,11.847,7.657,6.067,9.597,1.829,5.203,13.981
2358,26524122,1.9609999999999999,3.602,1.5539999999999998,2.922,2.448,2.269,1.563,5.344
2359,787273,7.303,15.284,5.078,9.595,8.853,6.022,1.883,15.416
2360,12141318,1.4609999999999999,1.569,0.0,2.814,2.319,0.712,0.773,0.735
2361,6722354,1.784,4.32,3.008,5.0760000000000005,5.049,4.6370000000000005,2.102,10.248000000000001
2362,12424379,0.0,2.734,0.0,0.265,7.064,1.13,0.867,5.625
2363,30080133,0.0,1.742,0.0,0.516,1.7600000000000002,0.0,1.4929999999999999,2.561
2364,32546903,1.896,1.117,3.024,3.296,2.997,1.344,0.0,1.0390000000000001
2365,5822642,0.348,2.516,0.359,1.0310000000000001,6.356,3.125,0.117,6.8740000000000006
2366,5964231,4.372,2.134,0.711,2.9370000000000003,3.676,2.657,0.32,2.469
