TSNE1,TSNE2,Labels
-96.711586,16.17228,6
17.573803,-39.62286,9
15.191304,35.941105,8
77.904564,36.686443,4
56.05043,5.6119056,1
46.14194,51.543068,4
95.12799,-23.08488,1
-13.101678,17.46011,3
42.439636,-21.402208,9
64.29687,-2.4922366,1
53.980507,22.810377,4
-58.605362,-12.672239,6
59.55086,-35.341026,9
-31.884119,-27.354002,3
-25.272423,-22.384699,3
2.6403618,37.115383,8
70.68297,11.021467,1
-76.597855,5.68559,6
18.575027,-14.87295,5
0.03582323,56.233852,8
-11.566717,20.58649,3
5.9713025,33.842205,8
-54.218956,-56.94865,2
64.4507,11.637632,1
83.09382,-38.983444,1
-3.9194417,-35.376373,7
-63.72192,-29.047987,2
14.8943815,-43.687214,9
-86.8159,-26.382465,2
-27.069607,24.003996,0
-46.098003,-19.649555,2
-77.6809,-63.65239,2
-94.401535,-8.34334,6
-67.99946,-19.782288,2
85.298904,9.042146,1
64.149956,-29.003366,1
50.159515,-16.969755,9
-85.36712,17.294525,6
11.699898,15.626156,5
22.793793,42.747826,8
-49.76427,-48.99996,2
-21.400465,18.154282,3
0.87312084,-68.47488,7
-78.85297,-36.609585,2
57.633484,62.8708,4
37.113724,35.344566,4
9.821077,11.895046,5
53.220097,27.817492,4
99.35706,-20.321829,1
-27.028976,10.728611,3
-43.2122,-47.29236,2
-28.45314,-41.949722,7
38.250626,1.1321256,5
-36.617817,-31.502237,2
-27.556437,-46.26885,7
-53.87684,-42.8498,2
-39.78738,20.863657,0
35.901894,12.234717,5
89.170845,-18.579021,1
-59.28489,43.50569,0
-4.2714524,-34.21976,7
-78.906136,30.605883,6
-69.010635,-20.108696,2
-59.932137,14.286733,6
4.771317,-33.39916,7
-68.82639,-11.0831375,6
-26.10376,9.628761,3
52.462204,-36.160404,9
19.037945,22.853054,5
-36.057964,-45.3076,7
10.279465,75.02594,8
71.08152,-10.612928,1
-44.344307,-31.718067,2
66.129524,33.773983,4
-36.617805,-59.412132,7
44.86497,39.875217,4
-29.157637,-61.36028,7
24.680256,42.13273,8
35.12725,54.361206,4
57.953968,40.868313,4
-61.206703,-40.42243,2
-42.19308,30.928146,0
69.93341,19.547924,1
-4.922337,-11.268258,3
-82.95148,-42.114765,2
62.976597,58.016544,4
56.68844,61.512203,4
-25.972103,-24.079712,3
-95.032715,-20.074427,6
-25.675482,34.74712,0
-84.53973,25.688246,6
-45.30014,15.877748,0
83.56908,21.556051,1
82.41156,-0.487552,1
-47.064102,-0.84746504,3
-6.7750416,23.447142,8
-0.5599024,-9.676317,3
-67.10473,-63.218643,2
54.875923,-35.240265,9
-28.53142,-14.35525,3
14.705805,-22.135052,9
74.50609,51.412495,4
48.706028,-6.910615,5
-15.6843605,-4.529571,3
13.251722,-0.3722433,5
63.903515,-47.491215,9
72.30664,43.692383,4
-35.064762,-38.963657,7
51.778114,-46.045155,9
5.1743755,-55.462894,7
69.71044,-40.261288,9
-33.755314,-61.880733,7
-5.44512,-61.03887,7
50.358913,55.577274,4
-19.616493,-39.769833,7
43.47075,-18.533674,9
-40.025166,42.148666,0
-66.58905,10.655917,6
0.8772779,-0.28573674,3
91.23102,11.6305685,1
3.938181,9.665197,5
-52.711914,-25.698748,2
-35.152042,48.87743,0
-95.39526,15.363333,6
59.215878,63.72411,4
56.535046,-39.834038,9
-15.795562,-4.837584,3
8.426338,-38.302784,7
0.665216,-78.840256,7
106.02336,-16.784533,1
25.516119,-52.266365,9
-64.51595,49.583443,0
-83.41516,24.487015,6
35.43048,44.80935,4
100.1054,-10.880423,1
-79.620514,-22.474295,2
74.36615,34.75559,4
31.962187,-41.84545,9
-103.204605,-0.9122018,6
52.094948,-58.474865,9
-10.338003,-49.27272,7
-17.199768,-41.660763,7
-50.908123,-61.626343,2
4.487387,72.27631,8
82.02434,12.153097,1
-33.524796,-30.167812,3
32.22268,53.895752,8
7.4573054,77.8077,8
-36.135223,-55.161224,7
